Ps.no,Na-47,Pti,Pmln,Ppp,Ji,Mnk,Tlp
1,"Hira Model School, Sohan, Islamabad. (Male)",230,149,7,14,33,12
2,"Hira Model School, Sohan, Islamabad.(Female)",170,97,3,15,18,1
3,"The Spirit Model School, Sohan, Islamabad.(Male)",254,152,10,17,22,27
4,"The Spirit Model School, Sohan, Islamabad. (Female)",166,80,5,11,15,9
5,"Yaseen Shaheed Model School For Boys (I-VIII) Sohan, Islamabad.(Male)",220,128,2,8,29,25
6,"Yaseen Shaheed Model School For Boys (I-VIII) Sohan, Islamabad.(Female)",165,98,2,6,18,8
7,"The Message Schools and Colleges System Sohan,Islamabad. (Male)",254,176,3,9,78,28
8,"The Message Schools and Colleges System Sohan, Islamabad. (Female)",189,145,6,5,26,16
9,"The Spirit Model School, Nai Abadi, Warsi Markeet,  Sohan, Islamabad. (Combined)",359,163,1,11,26,25
10,"The Spirit Model School, Nai Abadi, Warsi Markeet,  Sohan, Islamabad. (Combined)",263,191,13,9,30,12
11,"Ever Green School, Iqbal Town Stop, Masjid Mai Saleem Akhtar Road, Madni Block,",167,144,11,5,29,16
12,"Ever Green School, Iqbal Town Stop, Masjid Mai Saleem Akhtar Road, Madni Block,",102,79,9,3,20,3
13,"Bright Star Montessori School New Iqbal Town Main Road, Islamabad. (Male)",149,127,10,1,25,18
14,"Bright Star Montessori School New Iqbal Town Main Road, Islamabad. (Female)",72,66,8,1,14,6
15,"Bright Star Montessori School New Iqbal Town Main Road, Islamabad. (Combined)",101,166,8,1,7,3
16,"Islamabad Model School for Girls (I-VIII) Sohan, Islamabad. (Male)",302,168,15,8,28,28
17,"Islamabad Model School for Girls (I-VIII) Sohan, Islamabad. (Male)",405,235,16,8,38,48
18,"Islamabad Model School for Girls (I-VIII) Sohan, Islamabad. (Female)",248,154,8,11,27,19
19,"Al Kitab International Public School, Nai Abadi Qazi Abad, Kot Hatial, Islamabad. (M",285,237,30,19,15,105
20,"Jan Public School, Mohallah Al-Noor, Nai Abadi Bhara Kahu, Islamabad. (Male)",229,216,11,24,23,49
21,"Jan Public School, Mohallah Al-Noor, Nai Abadi Bhara Kahu, Islamabad. (Female)",156,182,6,10,16,21
22,"Scholar Public School (Junior Campus) Mohallah Chaudhrian, Kot Hathial, Islamabad",349,250,85,32,32,53
23,"Scholar Public School (Junior Campus) Mohallah Chaudhrian, Kot Hathial, Islamabad",322,203,67,17,23,25
24,"Begum Saleem Kiyani Model College for Boys (VI-XII) Bhara Kahu, Islamabad.  (Male",372,243,31,27,16,61
25,"Begum Saleem Kiyani Model College for Boys (VI-XII) Bhara Kahu, Islamabad. (Fema",319,180,19,24,18,35
26,"N.P.F Model School Near Punjab Bank, Bhara Kahu, Islamabad. (Male)",255,152,26,5,21,30
27,"N.P.F Model School Near Punjab Bank, Bhara Kahu, Islamabad. (Female)",187,105,14,8,14,15
28,"The Rise International School (Senior Section) Bhera Syedan, Bhara Kahu, Islamabad",246,123,38,14,16,31
29,"The Rise International School (Senior Section) Bhera Syedan, Bhara Kahu, Islamabad",178,107,29,13,14,12
30,"City Public School, Mohallah Usmanabad, Simly Dam Road, Bhara Kahu, Islamabad.",156,149,19,8,17,24
31,"Begum Saleem Kiyani Model College for Boys (VI-XII) Bhara Kahu, Islamabad.. (Fema",287,163,11,18,11,15
