Polling St No.,Ali Bukhari,Khurrum,Mustafa,Azhar,Polling Station Name,Polling Station Won
1,313,140,37,66,ChathaBakhtawar,Ali Bukhari
2,215,102,26,29,ChathaBakhtawar,Ali Bukhari
3,405,209,61,62,ChathaBakhtawar,Ali Bukhari
4,310,193,46,49,ChathaBakhtawar,Ali Bukhari
5,208,58,20,34,ChathaBakhtawar,Ali Bukhari
6,171,46,8,16,ChathaBakhtawar,Ali Bukhari
7,192,50,19,16,ChathaBakhtawar,Ali Bukhari
8,409,241,32,78,Tarlai,Ali Bukhari
9,350,177,27,47,Tarlai,Ali Bukhari
10,324,183,110,35,Khanal Chowk,Ali Bukhari
11,312,180,35,46,Tarlai Kalan,Ali Bukhari
12,443,117,59,100,Tarlai,Ali Bukhari
13,338,60,37,57,Tarlai,Ali Bukhari
14,477,124,118,86,Tarlai,Ali Bukhari
15,386,65,61,53,Tarlai,Ali Bukhari
16,334,104,92,32,Tarlai,Ali Bukhari
17,83,123,-,98,Tarlai,Khurrum Nawaz
18,383,94,69,45,Tarlai,Ali Bukhari
19,256,85,51,30,Tarlai,Ali Bukhari
20,172,54,32,12,Tarlai,Ali Bukhari
21,351,118,47,56,Tarlai,Ali Bukhari
22,258,77,24,24,Sihala,Ali Bukhari
23,172,57,6,9,Chatta Bakhtawar,Ali Bukhari
24,315,224,3,31,Khana Dak,Ali Bukhari
25,187,119,5,9,Khana Dak,Ali Bukhari
26,452,267,8,91,Khana Dak,Ali Bukhari
27,289,200,5,46,Khana Dak,Ali Bukhari
28,406,206,25,44,Khana Dak,Ali Bukhari
29,261,153,12,24,Khana Dak,Ali Bukhari
30,281,36,149,29,Madina Town,Ali Bukhari
31,187,20,87,9,Madina Town,Ali Bukhari
32,342,62,63,29,Khana Dak,Ali Bukhari
33,257,33,94,21,Ghori town,Ali Bukhari
34,226,47,57,28,Khana Dak,Ali Bukhari
35,175,25,47,12,Khana Dak,Ali Bukhari
36,325,153,35,31,Khana Dak,Ali Bukhari
37,193,87,18,9,Khana Dak,Ali Bukhari
38,225,79,16,21,Khana Dak,Ali Bukhari
39,139,57,4,8,Khana Dak,Ali Bukhari
40,289,178,37,41,Khana Dak,Ali Bukhari
41,325,133,45,53,Khana Dak,Ali Bukhari
42,355,87,89,51,Khana Dak,Ali Bukhari
43,246,51,64,30,Khana Dak,Ali Bukhari
44,337,90,118,61,Khana Dak,Ali Bukhari
45,211,56,81,14,Khana Dak,Ali Bukhari
46,369,215,14,47,Burma Town,Ali Bukhari
47,226,132,4,22,Burma Town,Ali Bukhari
48,204,99,4,27,Burma Town,Ali Bukhari
49,94,72,-,14,Burma Town,Ali Bukhari
50,212,121,36,25,Tarlai,Ali Bukhari
51,135,37,19,8,Khana Dak,Ali Bukhari
52,431,191,91,90,Ghori town,Ali Bukhari
53,319,143,53,56,Ghori town,Ali Bukhari
54,251,263,28,66,Sharif Abad,Khurrum Nawaz
55,170,196,21,44,Sharif Abad,Khurrum Nawaz
56,174,184,11,114,Sharif Abad,Khurrum Nawaz
57,126,124,-,85,Sharif Abad,Ali Bukhari
58,486,329,26,48,Sodhran,Ali Bukhari
59,306,208,10,16,Sodhran,Ali Bukhari
60,449,121,22,29,Ghouri Town,Ali Bukhari
61,357,68,13,10,Ghouri Town,Ali Bukhari
